Nomor_Aju;Tanggal_Aju;Importir;Negara_Asal;Pelabuhan_Muat;Pelabuhan_Bongkar;HS_Code;Uraian_Barang;Nilai_FOB_USD;Freight_USD;Insurance_USD;Nilai_CIF_USD;Tarif_BM;Nilai_BM_IDR;Status_Jalur
234913-201377-20260522;2026-05-22;PT. Nusantara Abadi;KR;KRPUS;IDTPP;39269099;Barang dari Plastik Lainnya;53.949,11;4.945,70;269,75;59.164,56;5%;Rp 47.923.294;Hijau
513037-491326-20260228;2026-02-28;PT. Karya Gemilang;KR;KRPUS;IDTPP;85171200;Smartphone / Telepon Seluler;13.524,79;1.158,56;67,62;14.750,97;0%;Rp 0;Merah
933510-455556-20260531;2026-05-31;PT. Global Abadi;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;4.114,16;281,77;20,57;4.416,50;5%;Rp 3.577.365;Merah
684929-483366-20260226;2026-02-26;PT. Bina Gemilang;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;23.260,78;2.766,20;116,30;26.143,28;5%;Rp 21.176.057;Hijau
891638-251275-20260102;2026-01-02;PT. Global Sejahtera;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;16.964,39;1.500,70;84,82;18.549,91;0%;Rp 0;Hijau
308727-731728-20260119;2026-01-19;PT. Bina Logistik;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;6.501,19;383,43;32,51;6.917,13;5%;Rp 5.602.875;Hijau
633853-520884-20260701;2026-07-01;PT. Karya Sejahtera;US;USLAX;IDTPP;84145949;Kipas Angin Industri;14.526,97;699,37;72,63;15.298,97;5%;Rp 12.392.166;Hijau
624369-142210-20260611;2026-06-11;PT. Makmur Utama;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;8.413,76;439,44;42,07;8.895,27;5%;Rp 7.205.169;Merah
147504-140804-20260116;2026-01-16;PT. Sukses Mandiri;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;15.309,38;913,61;76,55;16.299,54;5%;Rp 13.202.627;Kuning
243693-848255-20260228;2026-02-28;PT. Sukses Sejahtera;US;USLAX;IDTPP;94036090;Furnitur Kayu Lainnya;29.571,22;1.562,97;147,86;31.282,05;5%;Rp 25.338.461;Kuning
449218-943019-20260118;2026-01-18;PT. Nusantara Sejahtera;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;89.609,82;4.921,85;448,05;94.979,72;0%;Rp 0;Hijau
596756-644559-20260109;2026-01-09;PT. Karya Mandiri;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;3.024,86;189,98;15,12;3.229,96;5%;Rp 2.616.268;Hijau
579187-256175-20260809;2026-08-09;PT. Global Gemilang;SG;SGSIN;IDTPP;61091010;Pakaian / T-shirt Katun;172.756,79;9.306,39;863,78;182.926,96;15%;Rp 444.512.513;Hijau
735710-640546-20260326;2026-03-26;PT. Nusantara Gemilang;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;1.283,69;143,44;6,42;1.433,55;5%;Rp 1.161.176;Kuning
246570-443897-20260119;2026-01-19;PT. Sukses Utama;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;11.135,10;516,88;55,68;11.707,66;5%;Rp 9.483.205;Hijau
742848-434002-20260512;2026-05-12;PT. Maju Utama;JP;JPTYO;IDTPP;94036090;Furnitur Kayu Lainnya;27.064,57;2.218,24;135,32;29.418,13;5%;Rp 23.828.685;Hijau
270395-512042-20260302;2026-03-02;PT. Sukses Logistik;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;18.717,05;1.363,20;93,59;20.173,84;0%;Rp 0;Kuning
746447-875232-20260313;2026-03-13;PT. Sukses Utama;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;6.328,13;750,45;31,64;7.110,22;0%;Rp 0;Kuning
983532-413769-20260621;2026-06-21;PT. Sentosa Gemilang;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;10.407,20;509,57;52,04;10.968,81;0%;Rp 0;Hijau
722565-452713-20260505;2026-05-05;PT. Global Sejahtera;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;7.393,81;531,09;36,97;7.961,87;0%;Rp 0;Kuning
631958-968524-20260224;2026-02-24;PT. Jaya Sejahtera;KR;KRPUS;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;6.586,40;774,28;32,93;7.393,61;10%;Rp 11.977.648;Hijau
634473-658198-20260519;2026-05-19;PT. Sukses Gemilang;SG;SGSIN;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;37.031,44;4.045,34;185,16;41.261,94;0%;Rp 0;Merah
613641-843167-20260203;2026-02-03;PT. Nusantara Logistik;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;20.504,89;2.160,51;102,52;22.767,92;5%;Rp 18.442.015;Hijau
690268-414353-20260705;2026-07-05;PT. Karya Abadi;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;5.816,82;352,69;29,08;6.198,59;10%;Rp 10.041.716;Hijau
597960-955374-20260527;2026-05-27;PT. Maju Mandiri;US;USLAX;IDTPP;94036090;Furnitur Kayu Lainnya;39.321,23;2.110,41;196,61;41.628,25;5%;Rp 33.718.882;Merah
117445-486251-20260528;2026-05-28;PT. Makmur Abadi;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;19.317,36;1.806,01;96,59;21.219,96;5%;Rp 17.188.168;Hijau
447329-806537-20260502;2026-05-02;PT. Global Sejahtera;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;35.434,26;4.051,91;177,17;39.663,34;5%;Rp 32.127.305;Hijau
214928-536774-20260304;2026-03-04;PT. Makmur Abadi;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;28.440,08;2.404,35;142,20;30.986,63;0%;Rp 0;Hijau
